time_step,hourly_timestamp,hour_of_day,day_of_week,is_weekend,is_peak_hour,acn_sessions_count,acn_total_kwh,acn_avg_kwh_per_session,acn_base_revenue,acn_revenue_per_session,acn_energy_cost_per_kwh,urban_mean_utilization,urban_peak_queue,urban_total_volume,station_cluster_id
0,2024-01-01T00:00:00Z,0,0,0,0,29,559.9516763301782,19.308678494144075,8399.275144952673,289.6301774121611,15.0,0.5496714153011233,0.0,559.9516763301782,0
1,2024-01-01T01:00:00Z,1,0,0,0,23,449.1185847817332,19.52689499051014,6736.778771725998,292.9034248576521,15.0,0.5318902184689384,0.0,449.1185847817332,1
2,2024-01-01T02:00:00Z,2,0,0,0,17,304.9639791598672,17.93905759763925,4574.459687398008,269.0858639645887,15.0,0.41147696543084056,0.0,304.9639791598672,2
3,2024-01-01T03:00:00Z,3,0,0,0,26,710.1091556449821,27.31189060173008,10651.637334674731,409.67835902595124,15.0,0.5542560043585965,2.0812750112005625,710.1091556449821,3
4,2024-01-01T04:00:00Z,4,0,0,0,9,207.15485512671592,23.017206125190658,3107.3228269007386,345.25809187785984,15.0,0.2560894184943977,0.0,207.15485512671592,4
5,2024-01-01T05:00:00Z,5,0,0,0,27,556.4995873050618,20.611095826113402,8347.493809575928,309.16643739170104,15.0,0.49653478157724007,0.0,556.4995873050618,0
6,2024-01-01T06:00:00Z,6,0,0,0,20,494.7439821046639,24.737199105233195,7421.159731569959,371.05798657849795,15.0,0.4399746149894088,0.0,494.7439821046639,1
7,2024-01-01T07:00:00Z,7,0,0,1,34,872.1387929624963,25.651140969485184,13082.081894437444,384.76711454227774,15.0,0.6721617992909106,2.0947369076385245,872.1387929624963,2
8,2024-01-01T08:00:00Z,8,0,0,1,31,440.3906125016122,14.206148790374588,6605.859187524184,213.09223185561882,15.0,0.7113527049435444,0.848407935512802,440.3906125016122,3
9,2024-01-01T09:00:00Z,9,0,0,1,42,907.8299574284425,21.614998986391488,13617.449361426638,324.22498479587233,15.0,0.8591992264357671,2.1985753234849668,907.8299574284425,4
10,2024-01-01T10:00:00Z,10,0,0,0,12,177.3662155059099,14.780517958825826,2660.4932325886484,221.70776938238737,15.0,0.2821665753176291,0.0,177.3662155059099,0
11,2024-01-01T11:00:00Z,11,0,0,0,27,646.046836807263,23.927660622491224,9690.702552108945,358.9149093373684,15.0,0.5171368281189971,2.8273783724620136,646.046836807263,1
12,2024-01-01T12:00:00Z,12,0,0,0,28,789.8479562419707,28.20885558007038,11847.71934362956,423.1328337010557,15.0,0.526348604023021,0.0,789.8479562419707,2
13,2024-01-01T13:00:00Z,13,0,0,0,23,363.0067088136823,15.782900383203577,5445.100632205234,236.74350574805365,15.0,0.41194087339528934,0.0,363.0067088136823,3
14,2024-01-01T14:00:00Z,14,0,0,0,19,353.8464135265927,18.623495448768036,5307.69620289889,279.35243173152054,15.0,0.4956463197526502,0.5385859922395414,353.8464135265927,4
15,2024-01-01T15:00:00Z,15,0,0,0,26,581.8855363655063,22.380212937134857,8728.283045482594,335.70319405702287,15.0,0.5887748459593357,2.191409727991941,581.8855363655063,0
16,2024-01-01T16:00:00Z,16,0,0,0,27,620.6010272341753,22.98522323089538,9309.015408512629,344.7783484634307,15.0,0.5211587012326017,0.043381924226931545,620.6010272341753,1
17,2024-01-01T17:00:00Z,17,0,0,1,38,726.2308969585755,19.111339393646723,10893.463454378632,286.6700909047008,15.0,0.8664768645504524,3.254385336818223,726.2308969585755,2
18,2024-01-01T18:00:00Z,18,0,0,1,45,697.9032136224723,15.508960302721608,10468.548204337085,232.6344045408241,15.0,0.8679716344700701,4.137601421700716,697.9032136224723,3
19,2024-01-01T19:00:00Z,19,0,0,1,26,567.0126832561924,21.80818012523817,8505.190248842886,327.12270187857257,15.0,0.5815712621634118,0.1705928670289939,567.0126832561924,4
20,2024-01-01T20:00:00Z,20,0,0,0,27,747.6349364729058,27.690182832329842,11214.524047093586,415.3527424849476,15.0,0.5361395605508414,0.21086174724863177,747.6349364729058,0
21,2024-01-01T21:00:00Z,21,0,0,0,17,347.39900080024455,20.435235341190857,5210.985012003668,306.5285301178629,15.0,0.4034442328105025,0.0,347.39900080024455,1
22,2024-01-01T22:00:00Z,22,0,0,0,24,241.49173024789286,10.062155426995536,3622.375953718393,150.93233140493305,15.0,0.5091760776535502,0.0,241.49173024789286,2
23,2024-01-01T23:00:00Z,23,0,0,0,15,310.1815372107365,20.678769147382432,4652.723058161047,310.1815372107365,15.0,0.35049461291856643,0.0,310.1815372107365,3
24,2024-01-02T00:00:00Z,0,1,0,0,32,697.7477404145817,21.804616887955678,10466.216106218726,327.0692533193352,15.0,0.5704981311332721,1.2064296428575259,697.7477404145817,4
25,2024-01-02T01:00:00Z,1,1,0,0,30,377.636362971163,12.587878765705433,5664.545444567445,188.8181814855815,15.0,0.6158186652932027,0.929339136693011,377.636362971163,0
26,2024-01-02T02:00:00Z,2,1,0,0,33,625.4007479218952,18.95153781581501,9381.01121882843,284.2730672372251,15.0,0.5962641289999702,0.6350161067216991,625.4007479218952,1
27,2024-01-02T03:00:00Z,3,1,0,0,15,363.7440903046762,24.24960602031175,5456.161354570143,363.7440903046762,15.0,0.4138401945751671,0.0,363.7440903046762,2
28,2024-01-02T04:00:00Z,4,1,0,0,23,401.73602974237474,17.46678390184238,6026.040446135621,262.0017585276357,15.0,0.4129695045438926,1.0748106599257117,401.73602974237474,3
29,2024-01-02T05:00:00Z,5,1,0,0,28,623.4110857146914,22.26468163266755,9351.16628572037,333.97022449001327,15.0,0.48466635424838594,0.0,623.4110857146914,4
30,2024-01-02T06:00:00Z,6,1,0,0,29,286.7643346866184,9.888425334021324,4301.465020299276,148.32638001031987,15.0,0.5214938830094755,0.0,286.7643346866184,0
31,2024-01-02T07:00:00Z,7,1,0,1,40,416.2457569401917,10.406143923504793,6243.686354102876,156.09215885257188,15.0,0.7353527193258383,2.3270133178091665,416.2457569401917,1
32,2024-01-02T08:00:00Z,8,1,0,1,37,1195.699790809778,32.316210562426434,17935.496862146672,484.7431584363965,15.0,0.7560230209941027,2.480142874588538,1195.699790809778,2
33,2024-01-02T09:00:00Z,9,1,0,1,31,530.9200728199231,17.126453961933002,7963.801092298847,256.896809428995,15.0,0.7258619868355788,1.837121648015904,530.9200728199231,3
34,2024-01-02T10:00:00Z,10,1,0,0,27,539.0036797574827,19.963099250277136,8085.05519636224,299.44648875415703,15.0,0.5339820964186643,1.482643778701664,539.0036797574827,4
35,2024-01-02T11:00:00Z,11,1,0,0,23,367.7897980147852,15.99086078325153,5516.846970221778,239.86291174877297,15.0,0.5751933032686775,2.135948751619453,367.7897980147852,0
36,2024-01-02T12:00:00Z,12,1,0,0,27,727.9639767214069,26.961628767459516,10919.459650821103,404.42443151189275,15.0,0.6405205305878188,1.4333047692263894,727.9639767214069,1
37,2024-01-02T13:00:00Z,13,1,0,0,16,456.52839629427694,28.53302476839231,6847.925944414154,427.99537152588465,15.0,0.3802912936661697,0.0,456.52839629427694,2
38,2024-01-02T14:00:00Z,14,1,0,0,22,399.7906773484203,18.172303515837285,5996.860160226304,272.5845527375593,15.0,0.5009144345740137,0.0,399.7906773484203,3
39,2024-01-02T15:00:00Z,15,1,0,0,26,400.4748495496056,15.402878828830985,6007.122743244084,231.0431824324648,15.0,0.4730066230924309,1.2800006359418485,400.4748495496056,4
40,2024-01-02T16:00:00Z,16,1,0,0,22,404.5732332173757,18.38969241897162,6068.598498260635,275.8453862845743,15.0,0.42167467076637627,1.0890658249844831,404.5732332173757,0
41,2024-01-02T17:00:00Z,17,1,0,1,40,1008.7721221837317,25.21930305459329,15131.581832755975,378.28954581889934,15.0,0.7896373940064442,3.4228221013991376,1008.7721221837317,1
42,2024-01-02T18:00:00Z,18,1,0,1,40,1307.8325432538666,32.69581358134666,19617.488148808,490.43720372019993,15.0,0.8863886524417105,4.86437213217921,1307.8325432538666,2
43,2024-01-02T19:00:00Z,19,1,0,1,39,538.794611378774,13.81524644560959,8081.91917068161,207.22869668414384,15.0,0.7652420862259259,1.331964249174983,538.794611378774,3
44,2024-01-02T20:00:00Z,20,1,0,0,29,623.062777618812,21.48492336616593,9345.94166428218,322.2738504924889,15.0,0.5521941565616898,1.4426082813299692,623.062777618812,4
45,2024-01-02T21:00:00Z,21,1,0,0,21,443.76026829738186,21.131441347494373,6656.404024460728,316.9716202124156,15.0,0.4773277544450638,0.6206789770272769,443.76026829738186,0
46,2024-01-02T22:00:00Z,22,1,0,0,25,347.89313845509514,13.915725538203805,5218.397076826427,208.73588307305707,15.0,0.5174833011991471,0.3254920554747517,347.89313845509514,1
47,2024-01-02T23:00:00Z,23,1,0,0,22,332.78501627499463,15.126591648863393,4991.7752441249195,226.8988747329509,15.0,0.49842850601475536,0.7713696638900056,332.78501627499463,2
48,2024-01-03T00:00:00Z,0,2,0,0,32,508.6908290637263,15.896588408241447,7630.362435955894,238.4488261236217,15.0,0.6158595579007404,1.583081823063855,508.6908290637263,3
49,2024-01-03T01:00:00Z,1,2,0,0,24,556.1088355517148,23.17120148132145,8341.632533275722,347.5680222198217,15.0,0.594053558496201,4.00163079934027,556.1088355517148,4
50,2024-01-03T02:00:00Z,2,2,0,0,18,424.8348517834377,23.601936210190985,6372.522776751566,354.0290431528648,15.0,0.36814298392418876,0.0,424.8348517834377,0
51,2024-01-03T03:00:00Z,3,2,0,0,29,755.3603857495619,26.04690985343317,11330.40578624343,390.70364780149754,15.0,0.5413354087623645,0.9513140913156409,755.3603857495619,1
52,2024-01-03T04:00:00Z,4,2,0,0,33,675.4712959750711,20.468827150759733,10132.069439626068,307.032407261396,15.0,0.7734422159061742,3.3600895068267485,675.4712959750711,2
53,2024-01-03T05:00:00Z,5,2,0,0,17,465.78714589187695,27.399243875992763,6986.807188378154,410.98865813989147,15.0,0.41428424435837174,0.0,465.78714589187695,3
54,2024-01-03T06:00:00Z,6,2,0,0,16,300.54924316743876,18.784327697964923,4508.238647511582,281.76491546947386,15.0,0.3216748937834476,0.0,300.54924316743876,4
55,2024-01-03T07:00:00Z,7,2,0,1,40,867.2797527572504,21.68199381893126,13009.196291358756,325.22990728396894,15.0,0.8240340817947739,3.290970628862905,867.2797527572504,0
56,2024-01-03T08:00:00Z,8,2,0,1,37,652.0773905459121,17.623713257997622,9781.160858188681,264.35569886996433,15.0,0.7282543023095975,2.1713390232857064,652.0773905459121,1
57,2024-01-03T09:00:00Z,9,2,0,1,24,565.2131088436744,23.550546201819767,8478.196632655116,353.2581930272965,15.0,0.5750930565828386,0.843409437379483,565.2131088436744,2
58,2024-01-03T10:00:00Z,10,2,0,0,30,864.4406208454843,28.814687361516143,12966.609312682265,432.22031042274216,15.0,0.5630074938601007,1.2651874895029867,864.4406208454843,3
59,2024-01-03T11:00:00Z,11,2,0,0,20,405.8208718446,20.29104359223,6087.3130776689995,304.36565388345,15.0,0.3919799129959515,0.0,405.8208718446,4
60,2024-01-03T12:00:00Z,12,2,0,0,21,478.8823752686646,22.80392263184117,7183.235629029969,342.0588394776176,15.0,0.5357787360348283,0.7764268295208847,478.8823752686646,0
61,2024-01-03T13:00:00Z,13,2,0,0,22,539.5634155952215,24.525609799782796,8093.451233928323,367.88414699674195,15.0,0.4271820750636666,0.0,539.5634155952215,1
62,2024-01-03T14:00:00Z,14,2,0,0,30,638.581123647016,21.286037454900534,9578.71685470524,319.290561823508,15.0,0.5304449119870852,0.0,638.581123647016,2
63,2024-01-03T15:00:00Z,15,2,0,0,21,298.9806359756984,14.237173141699925,4484.709539635476,213.5575971254989,15.0,0.4872265171536114,0.0,298.9806359756984,3
64,2024-01-03T16:00:00Z,16,2,0,0,25,393.00888527132895,15.720355410853157,5895.133279069934,235.80533116279736,15.0,0.5165022798109339,0.0,393.00888527132895,4
65,2024-01-03T17:00:00Z,17,2,0,1,35,627.4569340567689,17.92734097305054,9411.854010851534,268.9101145957581,15.0,0.7044966826012433,2.1251655385532477,627.4569340567689,0
66,2024-01-03T18:00:00Z,18,2,0,1,28,513.1255853647373,18.325913763026332,7696.883780471059,274.888706445395,15.0,0.6606879726370777,1.0655942847308095,513.1255853647373,1
67,2024-01-03T19:00:00Z,19,2,0,1,40,1042.0797266273278,26.051993165683193,15631.195899409917,390.7798974852479,15.0,0.8276823004425603,3.125587038933374,1042.0797266273278,2
68,2024-01-03T20:00:00Z,20,2,0,0,20,270.87838868638175,13.543919434319088,4063.1758302957264,203.15879151478632,15.0,0.462547844090953,0.9889139318612344,270.87838868638175,3
69,2024-01-03T21:00:00Z,21,2,0,0,25,246.8571766677991,9.874287066711965,3702.8576500169866,148.11430600067948,15.0,0.5828765977604875,1.0152202923743028,246.8571766677991,4
70,2024-01-03T22:00:00Z,22,2,0,0,25,606.554166849528,24.26216667398112,9098.31250274292,363.9325001097168,15.0,0.4338213535231612,0.0,606.554166849528,0
71,2024-01-03T23:00:00Z,23,2,0,0,37,718.6374191641094,19.422632950381335,10779.56128746164,291.33949425572,15.0,0.6661301730608155,2.4930103075840018,718.6374191641094,1
72,2024-01-04T00:00:00Z,0,3,0,0,26,493.3998542879135,18.976917472612058,7400.997814318703,284.6537620891809,15.0,0.4680644922185222,0.0,493.3998542879135,2
73,2024-01-04T01:00:00Z,1,3,0,0,30,481.8597134461692,16.06199044820564,7227.895701692539,240.9298567230846,15.0,0.5917861947054777,2.841486359200056,481.8597134461692,3
74,2024-01-04T02:00:00Z,2,3,0,0,19,401.75219106189155,21.144852161152187,6026.282865928373,317.1727824172828,15.0,0.38164268320554623,0.0,401.75219106189155,4
75,2024-01-04T03:00:00Z,3,3,0,0,32,751.8547810975982,23.495461909299944,11277.821716463974,352.4319286394992,15.0,0.5774634053429337,1.374530687140343,751.8547810975982,0
76,2024-01-04T04:00:00Z,4,3,0,0,21,200.15162957631838,9.531029979824686,3002.2744436447756,142.96544969737027,15.0,0.4518751866176494,1.1511631701081293,200.15162957631838,1
77,2024-01-04T05:00:00Z,5,3,0,0,16,294.04836419460804,18.378022762163003,4410.72546291912,275.670341432445,15.0,0.3569858622039367,0.0,294.04836419460804,2
78,2024-01-04T06:00:00Z,6,3,0,0,38,775.991068991505,20.420817605039606,11639.866034872575,306.3122640755941,15.0,0.8187033338072969,3.7548017058305936,775.991068991505,3
79,2024-01-04T07:00:00Z,7,3,0,1,34,691.8663544483032,20.349010424950094,10377.99531672455,305.2351563742514,15.0,0.7648181731379149,2.262868134517389,691.8663544483032,4
80,2024-01-04T08:00:00Z,8,3,0,1,34,792.562214668578,23.310653372605234,11888.43322002867,349.6598005890785,15.0,0.7613517345251248,1.5791149887655638,792.562214668578,0
81,2024-01-04T09:00:00Z,9,3,0,1,35,778.1006359003356,22.23144674000959,11671.509538505035,333.4717011001439,15.0,0.7704282942001329,3.840525259120592,778.1006359003356,1
82,2024-01-04T10:00:00Z,10,3,0,0,23,581.9734365644622,25.303192894107053,8729.601548466933,379.5478934116058,15.0,0.5501426757026082,0.6117263356595037,581.9734365644622,2
83,2024-01-04T11:00:00Z,11,3,0,0,23,436.06594120891333,18.959388748213623,6540.9891181337,284.3908312232044,15.0,0.4569974614150084,0.0,436.06594120891333,3
84,2024-01-04T12:00:00Z,12,3,0,0,20,484.9602097021025,24.248010485105123,7274.403145531537,363.72015727657686,15.0,0.4410635243055788,0.0,484.9602097021025,4
